#, Max. MW, RT [min], Area, Max. m/z
1, 175.9638, 0.54, 74202.50, 174.9565
2, 159.9861, 0.55, 359707.56, 158.9788
3, 560.1231, 0.58, 36646.52, 559.1159
4, 334.0671, 0.58, 239871.27, 333.0598
5, 370.0754, 0.58, 37979.12, 369.0681
6, 342.1166, 0.60, 382841.34, 341.1096
7, 180.0631, 0.61, 1433816.63, 179.0563
8, 166.0479, 0.61, 233131.05, 165.0406
9, 216.0404, 0.61, 650410.25, 215.0331
10, 196.0585, 0.61, 2005719.63, 195.0513
11, 194.0429, 0.62, 279855.31, 193.0356
12, 378.0939, 0.62, 212622.42, 377.0866
13, 538.1751, 0.63, 79801.55, 537.1678
14, 370.0755, 0.63, 53313.61, 369.0683
15, 312.0701, 0.63, 203157.03, 311.0629
16, 296.0749, 0.63, 210899.88, 295.0677
17, 492.1335, 0.63, 68641.73, 491.1262
18, 440.0896, 0.63, 304052.38, 439.0823
19, 150.0165, 0.63, 9405649.00, 149.0093
20, 210.0380, 0.63, 140339.81, 209.0307
21, 125.9990, 0.64, 77374.61, 124.9917
22, 782.2067, 0.64, 24793.60, 781.1994
23, 468.1161, 0.64, 132230.41, 467.1089
24, 337.0701, 0.64, 41959.83, 337.0589
25, 354.0805, 0.64, 34431.46, 353.0732
26, 260.0210, 0.64, 98939.05, 259.0137
27, 394.0470, 0.65, 57853.69, 393.0398
28, 204.0273, 0.65, 318952.78, 205.0358
29, 292.0245, 0.65, 89499.99, 291.0172
30, 401.4610, 0.66, 15740.73, 132.8131
31, 275.0331, 0.66, 741608.38, 275.0223
32, 669.9808, 0.66, 107470.14, 133.1795
33, 134.0217, 0.66, 8856010.00, 133.0144
34, 535.3651, 0.66, 36119.01, 133.0766
35, 116.0113, 0.66, 106674.22, 115.0041
36, 384.0548, 0.67, 67220.15, 383.0475
37, 958.7390, 0.68, 79134.26, 191.1606
38, 192.3460, 0.68, 63782.87, 191.3387
39, 192.0272, 0.68, 11646415.00, 191.0199
40, 767.8695, 0.68, 35181.83, 191.2182
41, 960.5085, 0.68, 26148.65, 191.0944
42, 422.0108, 0.68, 136239.50, 421.0035
43, 174.0166, 0.68, 677934.13, 173.0094
44, 307.0961, 0.69, 33261.14, 307.0851
45, 766.9423, 0.69, 35050.34, 191.2251
46, 330.0592, 0.71, 47393.58, 329.0520
47, 334.0705, 0.72, 977715.75, 333.0632
48, 130.0269, 0.72, 385109.63, 129.0196
49, 148.0374, 0.72, 1008406.63, 147.0301
50, 238.0152, 0.72, 58972.08, 237.0080
51, 188.0324, 0.72, 133170.83, 187.0251
52, 392.0058, 0.72, 1054949.75, 390.9985
53, 429.9616, 0.73, 67334.07, 428.9544
54, 180.0636, 0.75, 483041.69, 179.0564
