#, Max. MW, RT [min], Area, Max. m/z
1, 175.9633, 0.54, 79192.81, 174.9561
2, 159.9857, 0.55, 384278.19, 158.9785
3, 273.9666, 0.55, 1603322.00, 272.9593
4, 560.1257, 0.58, 88717.62, 559.1184
5, 334.0673, 0.58, 206598.31, 333.0600
6, 370.0757, 0.58, 36316.25, 369.0684
7, 342.1167, 0.60, 332908.09, 341.1095
8, 180.0631, 0.61, 128405.84, 179.0558
9, 166.0474, 0.61, 151729.27, 165.0401
10, 196.0580, 0.61, 1579337.50, 195.0507
11, 194.0424, 0.62, 274503.13, 193.0351
12, 378.0937, 0.62, 215447.27, 377.0865
13, 538.1767, 0.63, 65748.09, 537.1694
14, 492.1348, 0.63, 69749.88, 491.1276
15, 296.0749, 0.63, 168573.11, 295.0676
16, 312.0698, 0.63, 69878.89, 311.0625
17, 370.0756, 0.63, 47015.16, 369.0683
18, 440.0906, 0.63, 173373.38, 439.0833
19, 224.0532, 0.63, 61041.35, 223.0460
20, 210.0375, 0.63, 150940.84, 209.0302
21, 150.0162, 0.63, 10970788.00, 149.0089
22, 599.0016, 0.63, 47846.75, 148.9837
23, 468.1169, 0.63, 73226.67, 467.1096
24, 233.0579, 0.64, 53973.21, 233.0476
25, 394.0470, 0.64, 59477.04, 393.0398
26, 260.0202, 0.64, 112656.73, 259.0129
27, 292.0241, 0.65, 141918.05, 291.0168
28, 275.0327, 0.65, 1126508.25, 275.0219
29, 116.0112, 0.66, 118628.72, 115.0039
30, 134.0214, 0.66, 9762920.00, 133.0141
31, 669.9706, 0.66, 136962.39, 133.1791
32, 535.3095, 0.66, 32290.23, 133.0768
33, 307.0884, 0.67, 17730.55, 307.0844
34, 767.8542, 0.68, 41310.57, 191.2171
35, 960.5055, 0.68, 21415.96, 191.2855
36, 192.0268, 0.68, 11850902.00, 191.0195
37, 384.0547, 0.68, 51989.52, 383.0474
38, 767.9286, 0.68, 58171.98, 191.2221
39, 422.0113, 0.68, 210455.16, 421.0040
40, 174.0162, 0.68, 714297.88, 173.0089
41, 406.0365, 0.68, 45701.36, 405.0292
42, 329.0744, 0.69, 7809.39, 329.0708
43, 476.1386, 0.71, 254935.94, 475.1324
44, 334.0700, 0.72, 789875.94, 333.0627
45, 130.0265, 0.72, 323562.47, 129.0192
46, 134.0578, 0.72, 966012.00, 133.0505
47, 392.0059, 0.72, 640341.25, 390.9986
48, 148.0370, 0.72, 877118.13, 147.0297
49, 188.0319, 0.73, 173805.72, 187.0246
50, 210.0375, 0.75, 152997.02, 209.0303
51, 150.0163, 0.75, 6830014.00, 149.0090
52, 196.0582, 0.75, 1029851.56, 195.0509
53, 134.0215, 0.76, 6806407.00, 133.0142
54, 370.0757, 0.76, 86346.06, 369.0684
55, 305.9998, 0.76, 56338.04, 304.9925
56, 174.0163, 0.77, 238521.14, 173.0090
57, 476.1750, 0.79, 108017.09, 475.1678
58, 471.1616, 0.79, 962.92, 471.1373
59, 134.0579, 0.80, 1061215.50, 133.0506
60, 332.0748, 0.80, 462722.81, 333.0633
61, 752.1306, 0.80, 194525.39, 187.0247
62, 429.9622, 0.81, 64542.33, 428.9549
63, 460.1445, 0.82, 222385.33, 459.1373
64, 389.9905, 0.83, 213925.38, 388.9832
65, 238.0148, 0.83, 96050.73, 237.0075
66, 392.0061, 0.84, 1699543.00, 390.9988
67, 118.0269, 0.84, 299873.47, 117.0196
68, 431.0540, 0.85, 33696.38, 430.0468
69, 148.0371, 0.85, 2676585.00, 147.0298
70, 502.1921, 0.85, 41351.36, 501.1849
71, 474.1032, 0.85, 68272.05, 473.0960
72, 383.1087, 0.85, 74653.39, 382.1014
73, 170.0214, 0.85, 109376.91, 169.0141
74, 206.0426, 0.85, 167029.31, 205.0353
75, 162.0527, 0.85, 207875.69, 161.0454
76, 724.2832, 0.85, 45949.18, 723.2760
77, 360.0703, 0.86, 119698.84, 359.0630
78, 1000.2318, 0.86, 14009.49, 999.2245
79, 347.0909, 0.86, 107781.90, 347.0800
80, 352.0658, 0.86, 83683.36, 351.0604
81, 275.1056, 0.87, 203333.83, 275.0947
82, 617.1197, 0.87, 2591276.00, 616.1124
83, 779.1738, 0.87, 82034.77, 778.1665
84, 715.0904, 0.87, 188024.81, 714.0831
85, 146.0579, 0.88, 67925.91, 145.0506
86, 615.1040, 0.88, 243200.69, 614.0967
87, 370.0368, 0.89, 119001.26, 369.0296
88, 458.1079, 0.89, 84215.13, 457.1006
89, 182.0612, 0.89, 320301.78, 181.0539
90, 358.0879, 0.89, 39730.72, 357.0807
91, 259.9992, 0.89, 66520.30, 258.9919
