#, Max. MW, RT [min], Area, Max. m/z
1, 175.9636, 0.54, 115233.1, 174.9564
2, 159.9860, 0.55, 300126.4, 158.9788
3, 273.9668, 0.55, 1280439.8, 272.9595
4, 736.1553, 0.57, 52245.0, 735.1480
5, 334.0670, 0.57, 184303.0, 333.0598
6, 560.1229, 0.57, 33380.7, 559.1157
7, 370.0755, 0.58, 29494.7, 369.0683
8, 342.1167, 0.60, 338750.8, 341.1098
9, 180.0630, 0.60, 2304123.8, 179.0562
10, 162.0530, 0.60, 156187.3, 161.0457
11, 246.0508, 0.60, 80000.2, 245.0435
12, 196.0585, 0.61, 2286677.5, 195.0513
13, 166.0478, 0.61, 276245.2, 165.0406
14, 216.0404, 0.61, 1240381.5, 215.0331
15, 194.0429, 0.61, 401526.3, 193.0356
16, 378.0939, 0.61, 172579.6, 377.0866
17, 278.0404, 0.61, 168357.0, 277.0332
18, 312.0701, 0.62, 250417.8, 311.0628
19, 296.0751, 0.62, 225933.2, 295.0679
20, 492.1336, 0.63, 67961.8, 491.1263
21, 150.0166, 0.63, 11141311.0, 149.0093
22, 210.0381, 0.63, 86670.6, 209.0308
23, 468.1166, 0.63, 60003.9, 467.1094
24, 440.0891, 0.63, 480386.4, 439.0818
25, 782.2068, 0.64, 25320.6, 781.1996
26, 260.0211, 0.64, 110229.8, 259.0138
27, 536.1596, 0.64, 146934.5, 537.1681
28, 275.0332, 0.66, 348677.4, 275.0224
29, 668.8928, 0.66, 60472.0, 132.9654
30, 204.0273, 0.66, 197299.5, 203.0201
31, 535.2836, 0.66, 33735.6, 133.0766
32, 535.0318, 0.66, 63784.3, 132.9893
33, 134.0217, 0.66, 8519456.0, 133.0144
34, 669.9598, 0.66, 114920.4, 133.1797
35, 116.0114, 0.66, 98487.4, 115.0041
36, 574.9806, 0.67, 40959.6, 190.9779
37, 192.0272, 0.67, 12767308.0, 191.0199
38, 960.5084, 0.68, 32537.2, 191.0944
39, 959.8396, 0.68, 69038.8, 191.1608
40, 422.0112, 0.68, 141130.4, 421.0039
41, 174.0167, 0.68, 1034514.6, 173.0094
42, 270.0956, 0.71, 176266.1, 269.0884
43, 330.0593, 0.71, 51101.4, 329.0521
44, 334.0711, 0.71, 600647.9, 333.0639
45, 314.1219, 0.72, 285723.9, 313.1146
46, 392.0058, 0.72, 864687.8, 390.9985
47, 429.9616, 0.72, 164074.6, 428.9543
48, 148.0373, 0.72, 791020.4, 147.0300
49, 188.0323, 0.72, 126864.7, 187.0250
50, 766.7894, 0.72, 11736.9, 190.9521
51, 617.1176, 0.72, 291417.4, 616.1103
52, 715.0866, 0.72, 57835.8, 714.0793
53, 150.0165, 0.75, 10265945.0, 149.0093
54, 226.0693, 0.75, 350364.6, 225.0620
55, 134.0217, 0.75, 6050478.0, 133.0144
56, 423.0138, 0.77, 1190.6, 423.0170
57, 180.0635, 0.77, 4413954.0, 179.0563
58, 188.0323, 0.81, 143227.4, 187.0250
59, 196.0585, 0.82, 1844438.8, 195.0513
60, 734.1214, 0.83, 85502.1, 733.1141
61, 194.9946, 0.83, 36580.1, 194.9951
62, 736.1558, 0.84, 166536.3, 735.1485
63, 238.0152, 0.84, 117660.1, 237.0079
64, 392.0058, 0.84, 1612005.1, 390.9985
65, 474.1022, 0.85, 59236.8, 473.0949
66, 607.2041, 0.85, 14748.2, 607.2072
67, 162.0530, 0.85, 469370.8, 161.0457
68, 360.0700, 0.85, 63179.9, 359.0627
69, 348.0870, 0.86, 54845.6, 347.0798
70, 460.1436, 0.86, 407774.7, 459.1364
71, 275.1059, 0.86, 197779.7, 275.0950
72, 715.0876, 0.87, 196062.9, 714.0803
73, 997.1889, 0.87, 29702.5, 996.1816
74, 617.1173, 0.87, 2366777.5, 616.1101
75, 655.0731, 0.87, 77374.2, 654.0658
76, 370.0365, 0.88, 93370.7, 369.0292
77, 458.1072, 0.88, 85610.9, 457.0999
78, 607.2033, 0.90, 2373.5, 607.1904
79, 394.0572, 0.90, 75879.5, 393.0499
80, 381.1642, 0.90, 42474.7, 380.1570
81, 369.1066, 0.90, 373986.8, 368.0993
82, 296.0742, 0.90, 901464.8, 147.0301
83, 344.0749, 0.90, 48998.0, 343.0677
84, 178.0480, 0.90, 2744356.5, 179.0562
85, 324.1425, 0.91, 75365.6, 323.1352
86, 118.0270, 0.91, 95093.3, 117.0197
87, 658.1005, 0.92, 58977.5, 657.0932
88, 429.9615, 0.93, 85409.3, 428.9542
89, 520.1651, 0.93, 31944.6, 519.1578
90, 358.1117, 0.93, 52170.9, 357.1044
91, 389.9902, 0.94, 266335.4, 388.9829
92, 658.1965, 0.94, 31409.8, 657.1892
93, 883.2104, 0.94, 46777.6, 882.2031
94, 414.0525, 0.94, 32394.0, 413.0452
95, 392.0052, 0.94, 3931641.0, 390.9985
96, 316.0801, 0.95, 1149879.5, 315.0728
97, 238.0515, 0.95, 153771.1, 237.0443
98, 488.1179, 0.95, 69895.0, 487.1107
99, 435.1863, 0.96, 69488.4, 434.1790
100, 617.1174, 0.96, 1896938.8, 616.1101
101, 330.0961, 0.96, 12997.3, 330.1012
102, 206.0794, 0.96, 167115.1, 205.0722
103, 596.1957, 0.96, 28508.3, 595.1884
104, 615.1017, 0.96, 452271.3, 614.0944
