#, Max. MW, RT [min], Area, Max. m/z
1, 289.9444, 0.53, 417370.5, 288.9371
2, 175.9635, 0.53, 126159.8, 174.9563
3, 159.9859, 0.54, 340596.1, 158.9786
4, 273.9667, 0.54, 1369082.1, 272.9594
5, 560.1240, 0.57, 29313.3, 559.1167
6, 334.0674, 0.57, 244299.8, 333.0601
7, 388.1228, 0.59, 342635.4, 387.1156
8, 180.0635, 0.60, 131665.0, 179.0562
9, 166.0478, 0.60, 129913.8, 165.0405
10, 196.0584, 0.61, 1401990.8, 195.0511
11, 384.0313, 0.61, 41773.8, 383.0241
12, 378.0937, 0.61, 198513.3, 377.0864
13, 194.0429, 0.61, 344749.9, 193.0356
14, 538.1756, 0.62, 62157.5, 537.1683
15, 296.0753, 0.62, 158257.9, 295.0680
16, 312.0700, 0.62, 59406.1, 311.0627
17, 492.1342, 0.62, 93320.8, 491.1269
18, 440.0899, 0.62, 258134.7, 439.0826
19, 370.0756, 0.62, 42103.3, 369.0684
20, 210.0379, 0.62, 122980.0, 209.0306
21, 150.0164, 0.63, 12192802.0, 149.0091
22, 601.1899, 0.63, 140916.9, 149.2902
23, 782.2072, 0.63, 25792.2, 781.1999
24, 233.0585, 0.63, 64166.8, 233.0479
25, 260.0207, 0.63, 105900.8, 259.0134
26, 394.0471, 0.63, 57372.5, 393.0398
27, 354.0803, 0.64, 29345.5, 353.0731
28, 291.0281, 0.64, 228677.3, 291.0172
29, 275.0330, 0.65, 1206266.0, 275.0222
30, 535.9771, 0.65, 73122.8, 132.9870
31, 670.7040, 0.65, 93798.3, 133.1335
32, 116.0113, 0.65, 121593.3, 115.0040
33, 134.0215, 0.65, 10498412.0, 133.0143
34, 204.0272, 0.65, 175277.2, 203.0199
35, 476.1384, 0.65, 250363.1, 475.1318
36, 402.2510, 0.65, 51695.2, 133.0764
37, 327.9513, 0.67, 94061.5, 326.9440
38, 384.0549, 0.67, 44339.9, 383.0476
39, 960.5061, 0.67, 21106.8, 191.0939
40, 192.0270, 0.67, 11413315.0, 191.0198
41, 534.1442, 0.67, 35043.5, 533.1369
42, 767.9472, 0.67, 42393.1, 191.2176
43, 422.0109, 0.67, 200486.6, 421.0036
44, 764.1272, 0.67, 37418.8, 763.1199
45, 289.0488, 0.68, 55126.4, 289.0378
46, 174.0165, 0.68, 998358.4, 173.0092
47, 347.0546, 0.69, 89679.3, 347.0435
48, 276.0661, 0.70, 202222.8, 275.0588
49, 334.0702, 0.71, 685626.6, 333.0629
50, 130.0267, 0.71, 488799.8, 129.0194
51, 330.0594, 0.71, 45175.7, 329.0522
52, 134.0580, 0.71, 837810.3, 133.0507
53, 148.0372, 0.71, 1564513.3, 147.0299
54, 429.9620, 0.71, 95185.6, 428.9547
55, 392.0060, 0.71, 818141.6, 390.9987
56, 188.0323, 0.71, 97907.5, 187.0250
57, 619.1187, 0.71, 21078.3, 618.1114
58, 598.9385, 0.74, 20731.6, 148.9797
59, 196.0584, 0.74, 1059165.1, 195.0511
60, 150.0164, 0.74, 9440677.0, 149.0091
61, 370.0755, 0.74, 83066.5, 369.0682
62, 668.9329, 0.74, 33503.0, 132.9871
63, 134.0216, 0.75, 8111818.5, 133.0143
64, 332.0754, 0.79, 525015.5, 333.0631
65, 188.0322, 0.81, 135560.3, 187.0250
66, 734.1211, 0.81, 45651.8, 733.1138
67, 460.1435, 0.82, 213129.8, 459.1362
68, 238.0149, 0.83, 117305.5, 237.0076
69, 389.9900, 0.83, 167005.0, 388.9827
70, 392.0056, 0.84, 1240904.6, 390.9984
71, 118.0269, 0.84, 292051.8, 117.0196
72, 148.0371, 0.84, 3917479.3, 147.0298
73, 170.0215, 0.84, 84458.7, 169.0142
74, 162.0528, 0.84, 455857.7, 161.0455
75, 383.1084, 0.85, 185965.4, 382.1011
76, 474.1018, 0.85, 49384.0, 473.0945
77, 348.0870, 0.86, 152822.4, 347.0798
78, 1000.2218, 0.86, 29834.3, 999.2145
79, 275.1056, 0.86, 295197.6, 275.0948
80, 617.1168, 0.87, 2290595.5, 616.1096
81, 715.0865, 0.87, 134941.0, 714.0792
82, 615.1011, 0.88, 234423.1, 614.0939
83, 370.0364, 0.88, 90140.2, 369.0291
84, 174.0527, 0.89, 110627.5, 173.0454
85, 394.0575, 0.89, 66090.6, 393.0502
86, 369.1066, 0.90, 396887.4, 368.0994
87, 381.1641, 0.90, 49843.8, 380.1568
88, 324.1427, 0.90, 75987.5, 323.1354
89, 148.0372, 0.91, 1021738.9, 147.0299
90, 148.0735, 0.91, 925727.3, 147.0662
91, 345.1906, 0.93, 21570.3, 344.1834
92, 178.0477, 0.93, 573735.2, 177.0404
93, 883.2086, 0.94, 19456.5, 882.2013
94, 434.1070, 0.94, 35303.3, 433.0997
95, 392.0057, 0.95, 2325455.8, 390.9985
96, 316.0799, 0.95, 1234554.9, 315.0726
97, 303.1003, 0.95, 112831.2, 303.0898
98, 435.1861, 0.96, 342244.4, 434.1788
99, 206.0791, 0.96, 119141.7, 205.0719
100, 617.1170, 0.96, 1648034.3, 616.1097
101, 615.1014, 0.97, 304469.1, 614.0941
102, 280.1163, 0.97, 294525.3, 279.1090
103, 474.1016, 0.98, 77617.6, 473.0943
104, 219.1110, 0.98, 120686.0, 218.1037
105, 606.1808, 0.98, 29767.8, 605.1735
106, 148.0736, 1.00, 1294351.9, 147.0663
107, 259.9994, 1.00, 98805.2, 258.9921
108, 231.0204, 1.01, 93493.0, 230.0131
109, 464.1897, 1.02, 97567.5, 463.1824
110, 729.1597, 1.02, 38591.2, 728.1525
111, 728.2008, 1.03, 66996.0, 727.1935
112, 162.0527, 1.03, 3799879.8, 161.0454
113, 434.1432, 1.03, 246582.8, 433.1359
114, 414.0883, 1.03, 105283.4, 413.0811
115, 352.0930, 1.04, 143184.6, 351.0857
116, 632.2316, 1.04, 104555.4, 631.2243
117, 596.2325, 1.04, 43647.5, 595.2253
118, 374.1219, 1.04, 63463.7, 373.1146
119, 154.0629, 1.04, 142191.4, 153.0557
120, 496.1624, 1.04, 97235.4, 495.1551
121, 316.1162, 1.04, 1441214.6, 315.1089
122, 490.1692, 1.04, 122396.8, 489.1620
123, 174.0527, 1.04, 176233.2, 173.0454
124, 180.0454, 1.05, 668535.6, 179.0382
125, 198.0562, 1.05, 325730.1, 197.0489
126, 595.1476, 1.06, 136784.0, 594.1403
127, 415.0548, 1.06, 36162.5, 414.0476
128, 154.0265, 1.07, 267069.7, 153.0193
129, 300.0850, 1.07, 114902.4, 299.0777
130, 600.1127, 1.09, 69627.8, 599.1054
131, 583.1992, 1.10, 33309.9, 582.1919
132, 132.0424, 1.10, 69594.2, 131.0352
133, 284.0475, 1.11, 59856.3, 283.0402
134, 372.1065, 1.12, 101074.5, 371.0993
135, 380.1693, 1.13, 14096.7, 379.1620
136, 233.0903, 1.15, 51298.5, 232.0830
137, 349.1073, 1.17, 22312.8, 349.0958
138, 1154.2643, 1.18, 28291.2, 1153.2570
139, 162.0528, 1.18, 2318076.0, 161.0455
140, 220.0584, 1.19, 151934.5, 219.0511
141, 174.0164, 1.19, 95283.9, 173.0092
142, 375.0857, 1.20, 858705.8, 375.0750
143, 678.1921, 1.21, 11529.5, 677.1848
144, 178.0264, 1.21, 1801939.5, 177.0191
145, 704.0535, 1.22, 53008.6, 703.0463
